Feature1,Feature2,Feature3
27.76196727059496,154.37945653575406,44.88194062149804
18.306087621971265,46.703123889986,37.44790518696536
46.7991911436861,148.90802714037486,34.135365207960234
30.654552212644077,69.14278666291167,8.835195884700468
13.286044141131304,174.26533880207282,12.079465380513913
22.238999300190336,75.30755805504913,47.03498289358128
78.1402970099404,60.81971702761365,29.288793221834425
72.89775994450531,81.49973625162133,5.113601260000434
16.850499223645336,77.24109325927952,25.97177015449543
38.08260259155651,197.85047578914526,49.54903551354737
36.452844236194174,63.829907134781216,7.876812203279823
30.106025854359636,74.63965324004991,48.69430998565257
15.21343907287228,150.45067501267368,25.147030467052378
39.391969444322726,112.01671368652254,21.302456885852994
51.88679652242697,119.02977187590785,10.125250929061536
88.3106276095078,158.8698883894497,49.90469136824234
60.38980474175794,109.39792200100842,36.61783779698125
65.25153256506171,178.39181891855392,30.103378204130376
58.15954808772655,104.69845891769776,22.60285058687679
88.96037912290159,83.18282484113024,18.900559772192594
64.32189331394136,145.57269268215552,48.248670477597074
69.50618986525609,79.59143619390582,13.917600262087184
40.256657919643345,184.62314357695485,30.3938211518833
55.16212735517823,89.5152072421089,27.7022134375936
57.912941039908446,43.74159506881088,40.27101507821592
83.78009580250388,165.2921048390208,41.91841787726098
89.51973080849045,168.20817485610874,8.11729285694684
60.421353908452296,61.13306047002639,6.527143882041548
89.76610265818194,42.16856574928726,36.42775466522062
27.8534061814591,59.906627811407205,47.887907316997634
64.90554792241534,86.49696515885282,34.335100959628036
46.756595438909045,48.9717229304591,16.3362224743943
23.8061170774749,33.45355534851012,29.029943568590497
75.03813906649508,58.64931801025985,31.192940795839952
22.456685861856748,124.46221102760587,45.01901756305789
36.39610894831317,184.56169345814857,20.345860670326488
43.48272793647399,63.31087635514399,46.90392086839596
53.91083635678744,76.38596798949382,8.555984709443214
62.34824266545058,26.935443564745324,8.52359350184904
11.892981942886786,158.74554850900802,16.044196108172144
29.5353470934499,124.9000229666027,23.73180081302078
29.421260254896644,82.46273425340613,16.468185996811243
52.081482673485695,41.35283045225486,31.750839526808676
84.97887338589784,182.31910229407274,19.684617528777423
73.24453889577012,113.87375443558899,42.389780790963286
